Student_ID,Interest,Favourite_Subject,Preferred_Activity,Recommended_Stream,Recommended_Course,Career_Path
SG001,Science,Mathematics,Coding,Science,B.E Computer Science,Software Engineer
SG002,Science,Mathematics,Problem Solving,Science,B.E Artificial Intelligence,AI Engineer
SG003,Science,Mathematics,Research,Science,B.Sc Mathematics,Mathematician
SG004,Science,Mathematics,Experimenting,Science,B.Sc Data Science,Data Scientist
SG005,Science,Physics,Research,Science,B.Sc Physics,Physicist
SG006,Science,Physics,Experimenting,Science,B.E Mechanical Engineering,Mechanical Engineer
SG007,Science,Physics,Problem Solving,Science,B.E Robotics,Robotics Engineer
SG008,Science,Physics,Coding,Science,B.E Electronics and Communication,Electronics Engineer
SG009,Science,Chemistry,Research,Science,B.Sc Chemistry,Chemist
SG010,Science,Chemistry,Experimenting,Science,B.Pharm,Pharmacist
SG011,Science,Chemistry,Helping People,Science,B.Sc Biotechnology,Biotechnologist
SG012,Science,Chemistry,Problem Solving,Science,Chemical Engineering,Chemical Engineer
SG013,Science,Biology,Helping People,Science,MBBS,Doctor
SG014,Science,Biology,Research,Science,BDS,Dentist
SG015,Science,Biology,Experimenting,Science,B.Sc Biotechnology,Biotechnologist
SG016,Science,Biology,Teaching,Science,B.Sc Nursing,Nurse
SG017,Science,Computer Science,Coding,Science,B.E Computer Science,Software Engineer
SG018,Science,Computer Science,Problem Solving,Science,B.E Artificial Intelligence,Machine Learning Engineer
SG019,Science,Computer Science,Research,Science,B.Sc Data Science,Data Scientist
SG020,Science,Computer Science,Leadership,Science,B.E Information Technology,IT Manager
SG021,Science,Computer Science,Designing,Science,B.E UI UX Design,UI UX Designer
SG022,Science,Computer Science,Creativity,Science,B.E Game Development,Game Developer
SG023,Science,Computer Science,Teaching,Science,B.Sc Computer Science,Lecturer
SG024,Science,Computer Science,Writing,Science,BCA,Software Developer
SG025,Science,Commerce,Business Planning,Commerce,BBA,Business Analyst
SG026,Science,Commerce,Leadership,Commerce,B.Com,Accountant
SG027,Science,Commerce,Accounting,Commerce,B.Com Accounting,Auditor
SG028,Science,Commerce,Problem Solving,Commerce,B.Com Finance,Financial Analyst
SG029,Science,Accountancy,Accounting,Commerce,Chartered Accountancy,Chartered Accountant
SG030,Science,Accountancy,Business Planning,Commerce,Company Secretary,Company Secretary
SG031,Science,Accountancy,Leadership,Commerce,CMA,Cost Accountant
SG032,Science,Accountancy,Teaching,Commerce,B.Com CA,Tax Consultant
SG033,Science,Economics,Research,Commerce,B.A Economics,Economist
SG034,Science,Economics,Business Planning,Commerce,BBA,Business Consultant
SG035,Science,Economics,Leadership,Commerce,MBA,Management Consultant
SG036,Science,Economics,Problem Solving,Commerce,B.Com Banking,Banker
SG037,Science,History,Research,Arts,B.A History,Historian
SG038,Science,History,Writing,Arts,B.A Journalism,Journalist
SG039,Science,History,Teaching,Arts,B.A History,History Teacher
SG040,Science,History,Public Speaking,Arts,BA Political Science,Civil Services Officer
SG041,Science,Geography,Research,Arts,B.Sc Geography,Geographer
SG042,Science,Geography,Teaching,Arts,B.Ed Geography,Geography Teacher
SG043,Science,Geography,Writing,Arts,B.A Journalism,Travel Writer
SG044,Science,Geography,Leadership,Arts,Disaster Management,Disaster Management Officer
SG045,Science,Political Science,Public Speaking,Arts,BA Political Science,Politician
SG046,Science,Political Science,Leadership,Arts,BA Political Science,Civil Services Officer
SG047,Science,Political Science,Writing,Arts,BA Journalism,Political Journalist
SG048,Science,Political Science,Teaching,Arts,BA Political Science,Professor
SG049,Science,Fine Arts,Drawing,Arts,BFA,Fine Artist
SG050,Science,Fine Arts,Designing,Arts,B.Des,Graphic Designer
SG051,Science,Fine Arts,Creativity,Arts,BFA,Illustrator
SG052,Science,Fine Arts,Teaching,Arts,BFA,Art Teacher
SG053,Science,Mathematics,Leadership,Science,B.Tech AI & DS,AI Engineer
SG054,Science,Physics,Helping People,Science,B.Sc Radiology,Radiology Technician
SG055,Science,Chemistry,Coding,Science,B.Tech Bioinformatics,Bioinformatics Engineer
SG056,Science,Biology,Creativity,Science,B.Sc Nutrition,Nutritionist
SG057,Science,Computer Science,Research,Science,B.Tech Cyber Security,Cyber Security Analyst
SG058,Science,Mathematics,Teaching,Science,B.Sc Mathematics,Mathematics Teacher
SG059,Science,Physics,Leadership,Science,Aeronautical Engineering,Aerospace Engineer
SG060,Science,Chemistry,Leadership,Science,Petroleum Engineering,Petroleum Engineer
SG061,Commerce,Commerce,Accounting,Commerce,B.Com,Accountant
SG062,Commerce,Commerce,Business Planning,Commerce,BBA,Business Manager
SG063,Commerce,Commerce,Leadership,Commerce,B.Com Finance,Financial Analyst
