Student_ID,Interest,Favourite_Subject,Recommended_Stream,Recommended_Course,Career_Path
SG001,Science,Mathematics,Engineering,B.E. Computer Science,Software Engineer
SG002,Science,Physics,Engineering,B.E. Mechanical Engineering,Mechanical Engineer
SG003,Science,Chemistry,Engineering,B.E. Chemical Engineering,Chemical Engineer
SG004,Science,Biology,Medical,MBBS,Doctor
SG005,Science,Biology,Medical,BDS,Dentist
SG006,Science,Mathematics,Engineering,B.Tech Artificial Intelligence,AI Engineer
SG007,Science,Computer Science,Engineering,B.Tech Information Technology,IT Engineer
SG008,Science,Physics,Engineering,B.E. Electrical Engineering,Electrical Engineer
SG009,Science,Mathematics,Engineering,B.E. Civil Engineering,Civil Engineer
SG010,Science,Computer Science,Engineering,B.Tech Cyber Security,Cyber Security Analyst
SG011,Science,Chemistry,Engineering,B.Tech Biotechnology,Biotechnology Engineer
SG012,Science,Biology,Medical,B.Sc Nursing,Registered Nurse
SG013,Science,Computer Science,Engineering,B.Tech Data Science,Data Scientist
SG014,Science,Mathematics,Engineering,B.E. Electronics and Communication,ECE Engineer
SG015,Science,Physics,Engineering,B.E. Aerospace Engineering,Aerospace Engineer
SG016,Commerce,Accountancy,Commerce,B.Com,Accountant
SG017,Commerce,Business Studies,Commerce,BBA,Business Manager
SG018,Commerce,Economics,Commerce,B.Com Economics,Economist
SG019,Commerce,Accountancy,Commerce,B.Com Banking,Bank Officer
SG020,Commerce,Mathematics,Commerce,B.Com Finance,Financial Analyst
SG021,Commerce,Business Studies,Commerce,BBA Marketing,Marketing Manager
SG022,Commerce,Economics,Commerce,BBA International Business,Business Analyst
SG023,Commerce,Accountancy,Commerce,CA Foundation,Chartered Accountant
SG024,Commerce,Economics,Commerce,B.Com Taxation,Tax Consultant
SG025,Commerce,Business Studies,Commerce,BBA Human Resource,HR Manager
SG026,Commerce,Mathematics,Commerce,B.Com Computer Applications,System Analyst
SG027,Commerce,Accountancy,Commerce,B.Com Accounting,Auditor
SG028,Commerce,Economics,Commerce,B.Com Corporate Secretary,Company Secretary
SG029,Commerce,Business Studies,Commerce,BBA Entrepreneurship,Entrepreneur
SG030,Commerce,Accountancy,Commerce,B.Com Insurance,Insurance Advisor
SG031,Arts,History,Arts,B.A. History,Historian
SG032,Arts,Geography,Arts,B.A. Geography,Geographer
SG033,Arts,Political Science,Arts,B.A. Political Science,Civil Services Officer
SG034,Arts,English,Arts,B.A. English,Content Writer
SG035,Arts,Psychology,Arts,B.A. Psychology,Psychologist
SG036,Arts,Sociology,Arts,B.A. Sociology,Social Worker
SG037,Arts,Economics,Arts,B.A. Economics,Policy Analyst
SG038,Arts,Tamil,Arts,B.A. Tamil,Teacher
SG039,Arts,English,Arts,B.Ed English,English Teacher
SG040,Arts,History,Arts,Bachelor of Law (LLB),Lawyer
SG041,Arts,Political Science,Arts,Public Administration,Administrative Officer
SG042,Arts,Psychology,Arts,Mental Health Counselling,Counsellor
SG043,Arts,Geography,Arts,Environmental Studies,Environmental Planner
SG044,Arts,English,Arts,Journalism and Mass Communication,Journalist
SG045,Arts,Tamil,Arts,Library Science,Librarian
SG046,Vocational,Computer Basics,Vocational,Diploma in Computer Engineering,Computer Technician
SG047,Vocational,Electrical,Vocational,Diploma in Electrical Engineering,Electrical Technician
SG048,Vocational,Mechanical,Vocational,Diploma in Mechanical Engineering,Mechanical Technician
SG049,Vocational,Automobile,Vocational,Diploma in Automobile Engineering,Automobile Technician
SG050,Vocational,Electronics,Vocational,Diploma in Electronics Engineering,Electronics Technician
SG051,Vocational,Civil,Vocational,Diploma in Civil Engineering,Civil Technician
SG052,Vocational,Computer Basics,Vocational,Diploma in Information Technology,IT Support Technician
SG053,Vocational,Graphic Design,Vocational,Diploma in Graphic Design,Graphic Designer
SG054,Vocational,Fashion Design,Vocational,Diploma in Fashion Technology,Fashion Designer
SG055,Vocational,Photography,Vocational,Diploma in Photography,Photographer
SG056,Vocational,Animation,Vocational,Diploma in Animation,Animator
SG057,Vocational,Cooking,Vocational,Diploma in Hotel Management,Chef
SG058,Vocational,Agriculture,Vocational,Diploma in Agriculture,Agriculture Officer
SG059,Vocational,Nursing Basics,Vocational,General Nursing and Midwifery,Staff Nurse
SG060,Vocational,Electrical,Vocational,Diploma in Electronics and Communication,Electronics Technician
SG061,Science,Mathematics,Engineering,B.Tech Robotics,Robotics Engineer
SG062,Science,Computer Science,Engineering,B.Tech Artificial Intelligence and Data Science,AI & Data Scientist
SG063,Science,Physics,Engineering,B.Tech Mechatronics,Mechatronics Engineer
SG064,Science,Chemistry,Engineering,B.Tech Petroleum Engineering,Petroleum Engineer
SG065,Science,Biology,Medical,B.Pharm,Pharmacist
SG066,Science,Biology,Medical,B.Sc Agriculture,Agricultural Scientist
SG067,Science,Mathematics,Engineering,B.Sc Computer Science,Software Developer
SG068,Science,Computer Science,Engineering,BCA,Application Developer
SG069,Science,Physics,Engineering,B.Sc Physics,Research Scientist
SG070,Science,Chemistry,Engineering,B.Sc Chemistry,Chemical Analyst
SG071,Commerce,Accountancy,Commerce,B.Com Professional Accounting,Finance Executive
SG072,Commerce,Business Studies,Commerce,BBA Logistics,Logistics Manager
SG073,Commerce,Economics,Commerce,B.Com Financial Markets,Investment Analyst
SG074,Commerce,Mathematics,Commerce,Bachelor of Statistics,Statistician
SG075,Commerce,Business Studies,Commerce,BBA Retail Management,Retail Manager
SG076,Commerce,Accountancy,Commerce,B.Com Accounting and Finance,Accounts Executive
SG077,Commerce,Business Studies,Commerce,BBA Business Analytics,Business Analyst
SG078,Commerce,Economics,Commerce,B.Com Economics,Financial Consultant
SG079,Commerce,Mathematics,Commerce,B.Sc Actuarial Science,Actuary
SG080,Commerce,Accountancy,Commerce,B.Com Banking and Insurance,Banking Officer
SG081,Arts,English,Arts,B.A. Journalism,News Reporter
SG082,Arts,History,Arts,B.A. Archaeology,Archaeologist
SG083,Arts,Political Science,Arts,B.A. Public Administration,Public Administrator
SG084,Arts,Psychology,Arts,B.Sc Psychology,Clinical Psychologist
SG085,Arts,Sociology,Arts,B.A. Social Work,Social Welfare Officer
SG086,Arts,Geography,Arts,B.Sc Geography,GIS Analyst
SG087,Arts,English,Arts,B.A. Linguistics,Language Specialist
SG088,Arts,Tamil,Arts,B.A. Tamil Literature,Tamil Professor
SG089,Arts,Political Science,Arts,LLB,Advocate
SG090,Arts,History,Arts,B.A. Museum Studies,Museum Curator
SG091,Vocational,Computer Basics,Vocational,Diploma in Software Engineering,Software Technician
SG092,Vocational,Electrical,Vocational,Diploma in Power Systems,Power Plant Technician
SG093,Vocational,Mechanical,Vocational,Diploma in Tool and Die Engineering,Tool Design Technician
SG094,Vocational,Automobile,Vocational,Diploma in Automobile Service,Automobile Service Engineer
SG095,Vocational,Electronics,Vocational,Diploma in Embedded Systems,Embedded Systems Technician
